省,市,行政代码,时间,所有问题个数,环保问题领域个数,环保_感谢个数,环保_建言个数,环保_求助个数,环保_投诉个数,环保_咨询个数,环保_积极总值,环保_消极总值,环保_感谢积极总值,环保_感谢消极总值,环保_建言积极总值,环保_建言消极总值,环保_求助积极总值,环保_求助消极总值,环保_投诉积极总值,环保_投诉消极总值,环保_咨询积极总值,环保_咨询消极总值
上海市,上海市,310000,2011,974,39,,,,,39.0,4.8704,34.1297,,,,,,,,,4.8704,34.1297
上海市,上海市,310000,2012,663,32,,,,,32.0,1.6955,30.3045,,,,,,,,,1.6955,30.3045
上海市,上海市,310000,2013,772,54,,2.0,9.0,11.0,32.0,6.8904000000000005,47.109700000000004,,,1.0688,0.9312,0.34090000000000004,8.6591,1.2552999999999999,9.7448,4.2254000000000005,27.7746
上海市,上海市,310000,2014,836,79,,7.0,21.0,48.0,3.0,11.8687,67.1313,,,1.5535,5.4465,2.2488,18.7512,7.1922,40.8078,0.8741999999999999,2.1258
上海市,上海市,310000,2015,1145,132,,7.0,33.0,88.0,4.0,8.9694,123.03059999999999,,,0.7760999999999999,6.2239,2.8752,30.1248,4.3156,83.6844,1.0025,2.9975
上海市,上海市,310000,2016,1920,185,,7.0,55.0,118.0,5.0,14.9439,170.0561,,,1.5827,5.4173,5.3555,49.6445,6.4392,111.5608,1.5665,3.4335
上海市,上海市,310000,2017,1592,189,,14.0,46.0,127.0,2.0,16.7155,172.2844,,,3.3739,10.626100000000001,5.3388,40.6611,7.0754,119.9246,0.9274,1.0726
上海市,上海市,310000,2018,1637,116,,14.0,25.0,76.0,1.0,11.0832,104.9169,,,2.5644,11.435599999999999,2.7713,22.2288,5.7472,70.2528,0.0003,0.9997
上海市,上海市,310000,2019,2519,216,,30.0,53.0,124.0,9.0,14.2588,201.7412,,,2.9021,27.0979,2.9614,50.0386,6.8246,117.1754,1.5707000000000002,7.4293
上海市,上海市,310000,2020,8805,408,,24.0,106.0,258.0,20.0,34.4333,373.56690000000003,,,2.1158,21.8842,13.7574,92.2428,15.3927,242.6073,3.1673999999999998,16.8326
上海市,上海市,310000,2021,8989,498,4.0,26.0,129.0,298.0,41.0,32.865,465.1348,1.7848,2.2152,1.875,24.125,9.6744,119.3256,16.4626,281.5372,3.0682,37.9318
上海市,上海市,310000,2022,507,8,,1.0,1.0,6.0,,0.8255,7.1745,,,0.7925,0.2075,0.0012,0.9988,0.0318,5.9682,,
云南省,临沧市,530900,2014,32,2,,2.0,,,,0.2905,1.7095,,,0.2905,1.7095,,,,,,
云南省,临沧市,530900,2015,55,2,,1.0,1.0,,,0.0045000000000000005,1.9955,,,0.001,0.999,0.0035,0.9965,,,,
云南省,临沧市,530900,2016,175,2,,,1.0,1.0,,0.0022,1.9978,,,,,0.0018,0.9982,0.0004,0.9996,,
云南省,临沧市,530900,2017,168,12,,,4.0,6.0,2.0,2.6891000000000003,9.3109,,,,,0.791,3.209,1.7436,4.2564,0.1545,1.8455
云南省,临沧市,530900,2018,160,10,,2.0,2.0,6.0,,1.5766,8.4234,,,0.7003999999999999,1.2996,0.5758,1.4242,0.3004,5.6996,,
云南省,临沧市,530900,2019,333,15,,,4.0,10.0,1.0,2.3037,12.6963,,,,,0.44380000000000003,3.5562,1.7043000000000001,8.2957,0.1556,0.8444
云南省,临沧市,530900,2020,624,20,,,8.0,10.0,2.0,1.5150000000000001,18.485,,,,,1.4974,6.5026,0.0122,9.9878,0.0054,1.9946
云南省,临沧市,530900,2021,526,17,,,4.0,13.0,,0.0348,16.9652,,,,,0.02,3.98,0.0148,12.9852,,
云南省,丽江市,530700,2014,27,2,,,1.0,,1.0,0.020300000000000002,1.9797,,,,,0.02,0.98,,,0.0003,0.9997
云南省,丽江市,530700,2015,73,5,,2.0,,3.0,,1.8949,3.1051,,,1.8876,0.1124,,,0.007299999999999999,2.9927,,
云南省,丽江市,530700,2016,340,6,,,2.0,4.0,,0.23979999999999999,5.7602,,,,,0.212,1.7879999999999998,0.0278,3.9722,,
云南省,丽江市,530700,2017,248,10,,,2.0,8.0,,0.1814,9.8186,,,,,0.0079,1.9921,0.1735,7.8265,,
云南省,丽江市,530700,2018,146,9,,1.0,2.0,5.0,1.0,1.2504,7.7496,,,0.0058,0.9942,0.0896,1.9104,0.3836,4.6164,0.7714,0.2286
云南省,丽江市,530700,2019,461,10,,2.0,2.0,6.0,,0.7394000000000001,9.2606,,,0.2609,1.7391,0.2437,1.7563,0.2348,5.7652,,
云南省,丽江市,530700,2020,650,28,,2.0,14.0,4.0,8.0,1.4849999999999999,26.515,,,0.0004,1.9996,1.3641999999999999,12.6358,0.0058,3.9942,0.11460000000000001,7.885400000000001
云南省,丽江市,530700,2021,591,39,1.0,4.0,4.0,28.0,2.0,6.1378,32.8622,0.9942,0.0058,0.30820000000000003,3.6917999999999997,1.8044,2.1956,3.0002,24.9998,0.0308,1.9692
云南省,保山市,530500,2011,12,1,,,,,1.0,0.1357,0.8643,,,,,,,,,0.1357,0.8643
云南省,保山市,530500,2013,7,1,,,,1.0,,0.1032,0.8968,,,,,,,0.1032,0.8968,,
云南省,保山市,530500,2014,19,2,,,1.0,1.0,,0.09,1.9100000000000001,,,,,0.088,0.912,0.002,0.998,,
云南省,保山市,530500,2016,183,2,,,,2.0,,0.0049,1.9951,,,,,,,0.0049,1.9951,,
云南省,保山市,530500,2017,234,8,,,2.0,6.0,,0.39730000000000004,7.6027,,,,,0.0141,1.9859,0.38320000000000004,5.6168,,
云南省,保山市,530500,2018,265,10,,,3.0,7.0,,0.9056000000000001,9.0944,,,,,0.7572,2.2428,0.1484,6.8516,,
云南省,保山市,530500,2019,438,25,,4.0,6.0,13.0,2.0,3.0634,21.9366,,,0.5149,3.4851,1.383,4.617,1.1482999999999999,11.8517,0.0172,1.9828000000000001
